,Start,Noun,Unreduced content,Ambiguous verb,Unambiguous verb,RC contents,RC extra contents pre by-phrase,RC by-phrase,RC extra contents post by-phrase,Disambiguator,End
0,The,woman,who was,brought,given,the sandwich,with a new oven,by the maid,from the kitchen,tripped,on the carpet . <eos>
1,The,captive,who was,walked,taken,into the dark cave,lit by torches,by the guards,,tried,to escape but failed . <eos>
2,The,prisoners,who were,pounded,beaten,for hours and hours,,by the soldiers,in the morning,confessed,to crimes they never committed . <eos>
3,The,business,that was,expanded,grown,into an empire,spanning multiple countries,by the manager,,was,sold for billions of dollars . <eos>
4,The,rats,that were,consumed,eaten,rapidly and entirely,,by the cat,due to great hunger,were,digested in the belly of the cat . <eos>
5,The,lawyer,that was,pledged,sworn,to complete secrecy,,by the client,due to security issues,was,discovered to have broken his promise . <eos>
6,The,child,who was,neglected,forgotten,in the chaos,of the war,by the town,,found,her way back home . <eos>
7,The,horses,that were,raced,ridden,past the barn,,by the men,in the countryside,fell,into a ditch . <eos>
8,The,artist,who was,sketched,drawn,a hasty portrait,,by the amateur,before the deadline,was,impressed with the work . <eos>
9,The,car,that was,steered,driven,into the garage,filled with tools,by the child,,crashed,into a concrete pillar . <eos>
10,The,campaign,that was,intended,known,to be very popular,among the masses,by the organizers,,was,still unsuccessful . <eos>
11,The,student,who was,composed,written,a carefully worded excuse,filled with lies,by his sister,,forgot,to give it to the teacher . <eos>
12,The,television show,that was,started,begun,three weeks ago,,by the entrepreneur,on a cable channel,was,cancelled immediately . <eos>
13,The,boys,who were,performed,done,an unsolicited favor,,by a person,for no good reason,thanked,the person who helped them . <eos>
14,The,player,who was,tossed,thrown,the plastic frisbee,,by her teammate,during the game,dropped,it on the ground . <eos>
15,The,man,who was,stabbed,bitten,deeply and fatally,in the afternoon,by the attacker,,died,very quickly . <eos>
16,The,child,who was,jumped,leapt,completely past,,by the other child,in the playground,was,upset about it . <eos>
17,The,students,who were,prepared,gotten,a fancy dinner,for the holiday,by their parents,,ate,the meal quickly . <eos>
18,The,infant,that was,fed,woken,during the night,of the first full moon,by the noise,,cried,intensely . <eos>
19,The,convict,who was,stowed,hidden,away in the basement,filled with mold,by the warden,,escaped,during the night . <eos>
20,The,dog,that was,promenaded,seen,on the boardwalk,of the marina,by its owner,,barked,at the onlookers . <eos>
21,The,ship,that was,navigated,blown,off course,,by the wind,in the Pacific Ocean,sank,on the reef . <eos>
22,The,balloon,that was,deflated,shrunk,to a small size,over several hours,by the pressure change,,popped,with a bang . <eos>
23,The,boat,that was,sailed,sunk,in the lake,filled with crocodiles,by the captain,,disappeared,in the storm . <eos>
24,The,couple,that was,bought,shown,the apartment,with new wood floors,by the realtor,,moved,to a different city . <eos>
25,The ,girl,who was,stitched,woven,a new shawl,out of wool,by her grandmother,,lost,it during the trip . <eos>
26,The,airplane,that was,landed,flown,in the arctic,,by the pilot,in the winter,froze,during the ice storm . <eos>
27,The,toddler,that was,hurried,borne,down the hallway,,by the principal,of the school,sobbed,at the top of his lungs . <eos>
