sentence,ambiguous,reduced,post_rc_POS,surprisal
The woman brought the sandwich from the kitchen was <eos>,True,True,VBD,11.403946876525879
The woman brought the sandwich from the kitchen were <eos>,True,True,VBD,13.550804138183594
The woman brought the sandwich from the kitchen had <eos>,True,True,VBD,13.468297958374023
The woman brought the sandwich from the kitchen became <eos>,True,True,VBD,17.210054397583008
The woman brought the sandwich from the kitchen did <eos>,True,True,VBD,16.903194427490234
The woman brought the sandwich from the kitchen began <eos>,True,True,VBD,16.64504623413086
The woman brought the sandwich from the kitchen said <eos>,True,True,VBD,14.2366304397583
The woman brought the sandwich from the kitchen took <eos>,True,True,VBD,16.53788185119629
The woman brought the sandwich from the kitchen died <eos>,True,True,VBD,18.611997604370117
The woman brought the sandwich from the kitchen served <eos>,True,True,VBD,15.693737983703613
The woman brought the sandwich from the kitchen included <eos>,True,True,VBD,14.974102020263672
The woman brought the sandwich from the kitchen came <eos>,True,True,VBD,16.670352935791016
The woman brought the sandwich from the kitchen went <eos>,True,True,VBD,16.558290481567383
The woman brought the sandwich from the kitchen wrote <eos>,True,True,VBD,20.791810989379883
The woman brought the sandwich from the kitchen announced <eos>,True,True,VBD,19.94559669494629
The woman brought the sandwich from the kitchen appeared <eos>,True,True,VBD,18.72498893737793
The woman brought the sandwich from the kitchen remained <eos>,True,True,VBD,19.214067459106445
The woman brought the sandwich from the kitchen followed <eos>,True,True,VBD,14.16605281829834
The woman brought the sandwich from the kitchen gave <eos>,True,True,VBD,15.016388893127441
The woman brought the sandwich from the kitchen joined <eos>,True,True,VBD,19.473215103149414
The woman brought the sandwich from the kitchen reported <eos>,True,True,VBD,19.820730209350586
The woman brought the sandwich from the kitchen decided <eos>,True,True,VBD,18.963842391967773
The woman brought the sandwich from the kitchen added <eos>,True,True,VBD,18.501361846923828
The woman brought the sandwich from the kitchen closed <eos>,True,True,VBD,13.683635711669922
The woman brought the sandwich from the kitchen failed <eos>,True,True,VBD,19.807825088500977
The woman brought the sandwich from the kitchen lived <eos>,True,True,VBD,20.659259796142578
The woman brought the sandwich from the kitchen turned <eos>,True,True,VBD,17.433706283569336
The woman brought the sandwich from the kitchen wanted <eos>,True,True,VBD,18.736343383789062
The woman brought the sandwich from the kitchen attended <eos>,True,True,VBD,18.013748168945312
The woman brought the sandwich from the kitchen helped <eos>,True,True,VBD,16.963550567626953
The woman brought the sandwich from the kitchen grew <eos>,True,True,VBD,18.151378631591797
The woman brought the sandwich from the kitchen got <eos>,True,True,VBD,17.74475860595703
The woman brought the sandwich from the kitchen suffered <eos>,True,True,VBD,19.985376358032227
The woman brought the sandwich from the kitchen resulted <eos>,True,True,VBD,19.40457534790039
The woman brought the sandwich from the kitchen agreed <eos>,True,True,VBD,20.250938415527344
The woman brought the sandwich from the kitchen occurred <eos>,True,True,VBD,20.699201583862305
The woman brought the sandwich from the kitchen refused <eos>,True,True,VBD,20.8772029876709
The woman brought the sandwich from the kitchen showed <eos>,True,True,VBD,17.66149139404297
The woman brought the sandwich from the kitchen revealed <eos>,True,True,VBD,17.321428298950195
The woman brought the sandwich from the kitchen fell <eos>,True,True,VBD,18.51919174194336
The woman brought the sandwich from the kitchen argued <eos>,True,True,VBD,24.23341178894043
The woman brought the sandwich from the kitchen dropped <eos>,True,True,VBD,18.82560157775879
The woman brought the sandwich from the kitchen contributed <eos>,True,True,VBD,21.981382369995117
The woman brought the sandwich from the kitchen voted <eos>,True,True,VBD,22.45073127746582
The woman brought the sandwich from the kitchen declined <eos>,True,True,VBD,21.021652221679688
The woman brought the sandwich from the kitchen resigned <eos>,True,True,VBD,24.359638214111328
The woman brought the sandwich from the kitchen concluded <eos>,True,True,VBD,20.795021057128906
The woman brought the sandwich from the kitchen explained <eos>,True,True,VBD,21.34693145751953
The woman brought the sandwich from the kitchen participated <eos>,True,True,VBD,23.34728240966797
The woman brought the sandwich from the kitchen stopped <eos>,True,True,VBD,18.403501510620117
The woman brought the sandwich from the kitchen wounded <eos>,True,True,VBD,21.960269927978516
The woman brought the sandwich from the kitchen attracted <eos>,True,True,VBD,19.186386108398438
The woman brought the sandwich from the kitchen denied <eos>,True,True,VBD,21.89437484741211
The woman brought the sandwich from the kitchen happened <eos>,True,True,VBD,18.416866302490234
The woman brought the sandwich from the kitchen emerged <eos>,True,True,VBD,24.268619537353516
The woman brought the sandwich from the kitchen surrounded <eos>,True,True,VBD,15.421605110168457
The woman brought the sandwich from the kitchen seemed <eos>,True,True,VBD,19.49778175354004
The woman brought the sandwich from the kitchen traveled <eos>,True,True,VBD,23.555538177490234
The woman brought the sandwich from the kitchen responded <eos>,True,True,VBD,21.121183395385742
The woman brought the sandwich from the kitchen looked <eos>,True,True,VBD,18.793292999267578
The woman brought the sandwich from the kitchen landed <eos>,True,True,VBD,20.256296157836914
The woman brought the sandwich from the kitchen hoped <eos>,True,True,VBD,24.6645565032959
The woman brought the sandwich from the kitchen escaped <eos>,True,True,VBD,20.737354278564453
The woman brought the sandwich from the kitchen manufactured <eos>,True,True,VBD,17.945812225341797
The woman brought the sandwich from the kitchen pulled <eos>,True,True,VBD,18.062366485595703
The woman brought the sandwich from the kitchen resumed <eos>,True,True,VBD,21.47103500366211
The woman brought the sandwich from the kitchen demanded <eos>,True,True,VBD,19.568620681762695
The woman brought the sandwich from the kitchen acknowledged <eos>,True,True,VBD,22.930957794189453
The woman brought the sandwich from the kitchen disappeared <eos>,True,True,VBD,21.908145904541016
The woman who was brought the sandwich from the kitchen was <eos>,True,False,VBD,3.7633774280548096
The woman who was brought the sandwich from the kitchen were <eos>,True,False,VBD,8.343989372253418
