sentence,ambiguous,reduced,post_rc_POS,surprisal
The woman brought the sandwich from the kitchen . <eos>,True,True,EOS,2.7189714908599854
The woman who was brought the sandwich from the kitchen . <eos>,True,False,EOS,3.4533944129943848
The woman given the sandwich from the kitchen . <eos>,False,True,EOS,3.5746965408325195
The woman who was given the sandwich from the kitchen . <eos>,False,False,EOS,3.998609781265259
The captive walked into the dark cave . <eos>,True,True,EOS,3.7139687538146973
The captive who was walked into the dark cave . <eos>,True,False,EOS,5.279568195343018
The captive taken into the dark cave . <eos>,False,True,EOS,4.210826873779297
The captive who was taken into the dark cave . <eos>,False,False,EOS,4.874251842498779
The prisoners pounded for hours and hours . <eos>,True,True,EOS,2.0401713848114014
The prisoners who were pounded for hours and hours . <eos>,True,False,EOS,4.760086536407471
The prisoners beaten for hours and hours . <eos>,False,True,EOS,2.3559987545013428
The prisoners who were beaten for hours and hours . <eos>,False,False,EOS,4.222064018249512
The business expanded into an empire . <eos>,True,True,EOS,3.8268625736236572
The business that was expanded into an empire . <eos>,True,False,EOS,4.499326229095459
The business grown into an empire . <eos>,False,True,EOS,3.9458844661712646
The business that was grown into an empire . <eos>,False,False,EOS,4.3263373374938965
The rats consumed rapidly and entirely . <eos>,True,True,EOS,5.8048601150512695
The rats that were consumed rapidly and entirely . <eos>,True,False,EOS,6.807515621185303
The rats eaten rapidly and entirely . <eos>,False,True,EOS,4.733311653137207
The rats that were eaten rapidly and entirely . <eos>,False,False,EOS,6.897963047027588
The lawyer pledged to complete secrecy . <eos>,True,True,EOS,2.9142966270446777
The lawyer that was pledged to complete secrecy . <eos>,True,False,EOS,3.2650146484375
The lawyer sworn to complete secrecy . <eos>,False,True,EOS,3.038485050201416
The lawyer that was sworn to complete secrecy . <eos>,False,False,EOS,3.730407476425171
The child neglected in the chaos . <eos>,True,True,EOS,2.7871010303497314
The child who was neglected in the chaos . <eos>,True,False,EOS,4.070178985595703
The child forgotten in the chaos . <eos>,False,True,EOS,2.863609552383423
The child who was forgotten in the chaos . <eos>,False,False,EOS,4.170399188995361
The horses raced past the barn . <eos>,True,True,EOS,2.4737091064453125
The horses that were raced past the barn . <eos>,True,False,EOS,4.1675496101379395
The horses ridden past the barn . <eos>,False,True,EOS,3.1122982501983643
The horses that were ridden past the barn . <eos>,False,False,EOS,4.347831726074219
The artist sketched a hasty portrait . <eos>,True,True,EOS,4.2441582679748535
